核准登記營業日期,縣市旅宿登記證號,類別,標章,溫泉標章,旅宿名稱,縣市,鄉鎮,郵遞區號,地址,電話或手機,傳真,房間數,電子郵件,網址,lat,lng
2018-10-24,交觀宿字第1508號,國際觀光旅館,卓越五星,是,瑞穗天合國際觀光酒店,花蓮縣,瑞穗鄉,978,花蓮縣瑞穗鄉瑞祥村溫泉路2段368號,03-8876000,03-8871000,198,hsin.chen@grandcosmos.com.tw,https://www.grandcosmos.com.tw,23.4937983,121.3542784
2015-12-16,交觀宿字第1605號,國際觀光旅館,卓越五星,否,台北美福大飯店,臺北市,中山區,104,臺北市中山區樂群二路55號,02-77223399,02-77223388,146,info@grandmayfull.com,https://www.grandmayfull.com/,25.0806345,121.5538588
1997-02-12,交觀宿字第1551號,國際觀光旅館,五星級,否,太魯閣晶英酒店,花蓮縣,秀林鄉,972,花蓮縣秀林鄉富世村天祥路18號,03-8691155,03-8691-160,160,rsvn@silksplace-taroko.com.tw,https://member.silkshotelgroup.com/SPTK,24.184445,121.495985
2005-04-29,交觀宿字第1550號,國際觀光旅館,五星級,是,礁溪老爺酒店,宜蘭縣,礁溪鄉,262,宜蘭縣礁溪鄉大忠村五峰路69號、69-1號,03-9886288,03-988-9058,198,service@ch.hotelroyal.com.tw,http://www.hotelroyal.com.tw/chiaohsi/,24.8267891,121.7567675
2022-07-22,高雄市旅館565號,旅館,五星級,否,承億酒店,高雄市,前鎮區,806,高雄市前鎮區林森四路189號，旅館：地上13樓、14樓、15樓、16至19樓、20樓、21樓、22樓及25樓，服務設施：地下1樓、地上9樓、24樓、26樓及27樓。,07-3333999,07-3336999,208,,https://www.taiurbanresort.com.tw/,22.6093366,120.3023581
2022-06-09,臺南市旅館355號,旅館,五星級,否,福爾摩沙遊艇酒店,臺南市,安平區,708,臺南市安平區安平路988號,06-3911313,06-3912323,237,service@formosayacht.com.tw,https://www.formosayacht.com.tw/,22.9986303,120.1549699
2022-03-29,臺南市旅館353號,旅館,五星級,否,禧榕軒大飯店,臺南市,北區,704,臺南市北區公園里成功路28號,06-2222188,-,180,,https://www.grandbanyanhotel.com/,22.9979985,120.2083928
2021-11-05,高雄市旅館564號,旅館,五星級,否,高雄洲際酒店,高雄市,前鎮區,806,高雄市前鎮區新光路33號1樓、3~16樓,07-3392111,-,253,grace.lin@ihg.com,https://ickaohsiung.com/,22.6112046,120.3035582
2003-12-25,雲林縣旅館005號,旅館,五星級,否,劍湖山渡假大飯店,雲林縣,古坑鄉,646,雲林縣古坑鄉永光村大湖口67-8號,05-5828111,05-5828100,293,,http://www.jrhotel.com.tw/,23.6150142,120.5769352
2009-10-22,交觀宿字第1609號,國際觀光旅館,五星級,否,桃園國際機場凱悅酒店,桃園市,大園區,337,桃園市大園區桃園市大園區航站南路1-1號,03-3831234,03-3980999,519,jenny.chang@hyatt.com,https://www.hyattregencytaoyuan.tw/tw/,25.0690378,121.2209842
2018-02-02,澎湖縣旅館059號,旅館,五星級,否,澎澄飯店,澎湖縣,馬公市,880,澎湖縣馬公市光復里1鄰同和路168號,06-9235678,06-9235680,236,Rebecca_Hung@everrich.com.tw,http://www.discoveryhotel.com.tw,23.5668463,119.5722115
2017-08-17,交觀宿字第1459號,國際觀光旅館,五星級,否,台南大員皇冠假日酒店,臺南市,安平區,708,臺南市安平區州平路289號,06-3911899,06-3911958,231,reservations@cptainan.com,https://www.crowneplaza.com/hotels/tw/zh/reservation,22.9993877,120.148877
2017-08-08,宜蘭縣旅館248號,旅館,五星級,是,礁溪寒沐酒店,宜蘭縣,礁溪鄉,262,宜蘭縣礁溪鄉健康路1號,03-9058000,03-9058088,118,jiaoxi@muhotels.com,http://www.muhotels.com/,24.8296121,121.77281
2017-07-17,宜蘭縣旅館247號,旅館,五星級,是,礁溪寒沐行館,宜蘭縣,礁溪鄉,262,宜蘭縣礁溪鄉健康路2號1-11樓,03-9058000,03-9058088,72,jiaoxi@muhotels.com,http://www.muhotels.com/jiaoxi/,24.8294257,121.7731028
2015-12-14,臺北市旅館523號,旅館,五星級,否,台北六福萬怡酒店,臺北市,南港區,115,臺北市南港區忠孝東路七段359號7-30樓,02-21716565,02-26546566,465,service@courtyardtaipei.com,https://www.courtyardtaipei.com.tw/,25.0519447,121.6077614
2015-11-06,交觀宿字第1424號,國際觀光旅館,五星級,否,澎湖福朋喜來登酒店,澎湖縣,馬公市,880,澎湖縣馬公市新店路197號,06-9266288,06-9263378,331,fourpointspenghu@fourpointspenghu.com,http://www.fourpoints-penghu.com/,23.5682507,119.5758655
2015-07-31,交觀宿字第1410號,國際觀光旅館,五星級,否,台北萬豪酒店,臺北市,中山區,104,臺北市中山區樂群二路199號 ,02-85029999,02-21757926,318,ays@taipeimarriott.com.tw,http://www.taipeimarriott.com.tw,25.0804289,121.5592994
2012-09-27,臺中市旅館300號,旅館,五星級,否,日月千禧酒店,臺中市,西屯區,407,臺中市西屯區市政路77號,04-37056000,04-37056007,243,info@millenniumtaichung.com,http://www.millenniumtaichung.com.tw/,24.1567329,120.6419636
2012-07-05,臺北市旅館395號,旅館,五星級,否,大倉久和大飯店,臺北市,中山區,104,臺北市中山區南京東路1段9號,02-25231111,02-21815150,208,,http://www.okurataipei.com.tw,25.0523164,121.5281004
2011-05-17,交觀宿字第1350號,國際觀光旅館,五星級,是,福容大飯店    淡水漁人碼頭,新北市,淡水區,251,新北市淡水區觀海路83號,02-26287777,02-26287888,198,fw@fullon-hotels.com.tw,http://www.fullon-hotels.com.tw/fw/,25.1824319,121.4151708
2011-03-22,交觀宿字第1365號,一般觀光旅館,五星級,是,北投麗禧溫泉酒店,臺北市,北投區,112,臺北市北投區幽雅路30號,02-28988888,02-28988088,66,rsvn@gvrb.com.tw,https://www.gvrb.com.tw/,25.1377746,121.5150918
2010-10-08,交觀宿字第1472號,國際觀光旅館,五星級,否,台北寒舍艾美酒店,臺北市,信義區,110,臺北市信義區松仁路38號,02-66228000,02-66360808,160,lemeridien@lemeridien-taipei.com,http://www.lemeridien-taipei.com/,25.0381849,121.5680778
2010-06-23,交觀宿字第1327號,一般觀光旅館,五星級,否,台北花園大酒店,臺北市,中正區,100,臺北市中正區中華路2段1號,02-23143300,02-23832033,241,eva.liao@taipeigarden.com.tw,http://www.taipeigarden.com.tw,25.0363607,121.5068635
2010-04-09,交觀宿字第1479號,一般觀光旅館,五星級,否,台北君品大酒店,臺北市,大同區,103,臺北市大同區承德路1段3號(1樓.5樓~16樓及地下1樓.地下3樓),02-21819999,02-21819988,286,pdc.service@ldchotels.com,http://www.palaisdechinehotel.com/,25.0627243,121.5113064
2010-04-07,交觀宿字第1562號,國際觀光旅館,五星級,否,義大皇家酒店,高雄市,大樹區,840,高雄市大樹區三和村學城路1段153號,07-6568111,07-6568008,656,info@edaroyal.com.tw,http://www.edaroyal.com.tw,22.708371,120.4242401
2010-03-12,交觀宿字第1532號,國際觀光旅館,五星級,否,新竹喜來登大飯店,新竹縣,竹北市,302,新竹縣竹北市十興里光明六路東1段265號,03-6206000,03-6206100,386,gsc@sheraton-hsinchu.com,http://www.sheraton-hsinchu.com/,24.8214705,121.0238586
2008-11-18,交觀宿字第1539號,國際觀光旅館,五星級,否,台南遠東香格里拉,臺南市,東區,701,臺南市東區大學路西段89號,06-7028888,06-7027777,336,sltn@shangri-la.com,http://www.shangri-la.com/tc/tainan/fareasternplazashangrila/,22.9963918,120.2144206
2008-07-03,臺東縣旅館097號,旅館,五星級,是,日暉國際渡假村,臺東縣,池上鄉,958,臺東縣池上鄉新興村新興107號,089-861111,089-865772,204,vip-service@papago-resort.com,http://www.papago-resort.com/taitung/,23.1054966,121.1987344
2007-12-26,交觀宿字第1422號,國際觀光旅館,五星級,是,雲品溫泉酒店日月潭,南投縣,魚池鄉,555,南投縣魚池鄉水社村中正路23號,049-2856788,049-2856600,207,,http://www.fleurdechinehotel.com,23.8709455,120.9235055
2006-07-05,交觀宿字第1463號,國際觀光旅館,五星級,否,耐斯王子大飯店,嘉義市,東區,600,嘉義市東區忠孝路600號,05-2771999,05-2732999,245,nphrv@mail.niceplaza.com.tw,http://www.niceprincehotel.com.tw,23.4965236,120.4528656
2006-04-25,交觀宿字第1457號,一般觀光旅館,五星級,否,裕元花園酒店,臺中市,西屯區,407,臺中市西屯區台灣大道四段610號(台中港路3段78-3號),04-24656555,04-24658555,149,windsorrsvn@windsortaiwan.com,http://www.windsortaiwan.com,24.1796151,120.6239157
2006-03-13,臺中市旅館268號,旅館,五星級,是,清新溫泉飯店,臺中市,烏日區,414,臺中市烏日區溫泉路2號,04-23829888,04-23826888,155,info@freshfields.com.tw,http://www.freshfields.com.tw/,24.1366494,120.5880961
2004-09-27,交觀宿字第1163號,國際觀光旅館,五星級,否,寒軒國際大飯店,高雄市,苓雅區,802,高雄市苓雅區四維三路33號,07-3322000,07-3361600,311,finance@hanhsien.com.tw,http://www.han-hsien.com.tw,22.6191107,120.3109815
2002-09-02,交觀宿字第1516號,國際觀光旅館,五星級,否,遠雄悅來大飯店,花蓮縣,壽豐鄉,974,花蓮縣壽豐鄉鹽寮村山嶺18號,03-8123999,03-8123988,381,,http://www.farglory-hotel.com.tw,23.9782301,121.5980424
2005-11-29,花蓮縣旅館078號,旅館,五星級,否,理想大地渡假飯店,花蓮縣,壽豐鄉,974,花蓮縣壽豐鄉共和村1鄰理想路1號,03-8656789,03-8656555,250,services@promisedland.com.tw,http://www.plcresort.com.tw,23.8633119,121.5277226
2002-03-01,交觀宿字第1051號,國際觀光旅館,五星級,否,涵碧樓大飯店,南投縣,魚池鄉,555,南投縣魚池鄉水社村中興路142號,049-2855311,049-285-5312,96,reservations@thelalu.com.tw,http://www.thelalu.com.tw,23.8617834,120.9072969
2000-12-15,交觀宿字第1117號,國際觀光旅館,五星級,否,新竹國賓大飯店,新竹市,東區,300,新竹市東區中華路2段188號,03-5151111,03-5151228,257,hsinchu.reservations@ambassador-hotels.com,http://www.ambassadorhotel.com.tw,24.8063833,120.9780748
